,0,1,2,3,4
18,118,"Perfect Blue  Movie (1 eps)  Feb 1998 - Feb 1998  751,049 members",8.55,,Add to My List
19,119,"Shingeki no Kyojin  TV (25 eps)  Apr 2013 - Sep 2013  4,096,204 members  Manga Store Volume 1 $15.99 Preview",8.55,,Add to My List
20,120,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni  Movie (1 eps)  Jul 1997 - Jul 1997  971,487 members",8.55,,Add to My List
21,121,"Shouwa Genroku Rakugo Shinjuu  TV (13 eps)  Jan 2016 - Apr 2016  299,549 members  Manga Store Volume 1 $17.99 Preview",8.55,,Add to My List
22,122,"Slam Dunk  TV (101 eps)  Oct 1993 - Mar 1996  315,599 members",8.55,,Add to My List
23,123,"Yojouhan Shinwa Taikei  TV (11 eps)  Apr 2010 - Jul 2010  467,562 members",8.55,,Add to My List
24,124,"Haikyuu!! To the Top Part 2  TV (12 eps)  Oct 2020 - Dec 2020  862,832 members",8.55,,Add to My List
25,125,"Fate/Zero 2nd Season  TV (12 eps)  Apr 2012 - Jun 2012  1,146,962 members",8.54,,Add to My List
26,126,"Fruits Basket 2nd Season  TV (25 eps)  Apr 2020 - Sep 2020  540,858 members  Manga Store Volume 1 $12.99 Preview",8.54,,Add to My List
27,127,"Steins;Gate 0  TV (23 eps)  Apr 2018 - Sep 2018  903,092 members",8.54,,Add to My List
28,128,"Zoku Natsume Yuujinchou  TV (13 eps)  Jan 2009 - Mar 2009  256,120 members",8.53,,Add to My List
29,129,"JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3  ONA (14 eps)  Dec 2022 - Dec 2022  236,686 members",8.53,,Add to My List
30,130,"Mushishi: Hihamukage  TV Special (1 eps)  Jan 2014 - Jan 2014  144,579 members",8.53,,Add to My List
31,131,"Kimi ni Todoke 3rd Season  ONA (5 eps)  Aug 2024 - Aug 2024  81,518 members",8.52,,Add to My List
