,Rank,Title,Score,URL
85,86,Bungou Stray Dogs 5th Season,"8.63
",https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season
86,87,Death Note,"8.62
",https://myanimelist.net/anime/1535/Death_Note
87,88,Haikyuu Movie Gomisuteba no Kessen,"8.62
",https://myanimelist.net/anime/52742/Haikyuu_Movie__Gomisuteba_no_Kessen
88,89,Haikyuu Second Season,"8.62
",https://myanimelist.net/anime/28891/Haikyuu_Second_Season
89,90,Kaguya sama wa Kokurasetai Tensai tachi no Renai Zunousen,"8.62
",https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
90,91,Made in Abyss Retsujitsu no Ougonkyou,"8.62
",https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
91,92,Ping Pong the Animation,"8.62
",https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
92,93,Made in Abyss Movie 3 Fukaki Tamashii no Reimei,"8.61
",https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
93,94,Natsume Yuujinchou Roku,"8.61
",https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
94,95,Cyberpunk Edgerunners,"8.61
",https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners
95,96,Dungeon Meshi,"8.61
",https://myanimelist.net/anime/52701/Dungeon_Meshi
96,97,Hajime no Ippo Rising,"8.61
",https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
97,98,Kenpuu Denki Berserk,"8.60
",https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
98,99, Oshi no Ko 2nd Season,"8.60
",https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season
99,100,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"8.59
",https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
100,101,Suzumiya Haruhi no Shoushitsu,"8.59
",https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
101,102,Tengen Toppa Gurren Lagann Movie 2 Lagann hen,"8.59
",https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
102,103, Oshi no Ko ,"8.59
",https://myanimelist.net/anime/52034/Oshi_no_Ko
103,104,Dandadan,"8.59
",https://myanimelist.net/anime/57334/Dandadan
104,105,Natsume Yuujinchou Shichi,"8.59
",https://myanimelist.net/anime/55823/Natsume_Yuujinchou_Shichi
105,106,JoJo no Kimyou na Bouken Part 5 Ougon no Kaze,"8.58
",https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
106,107,Mushishi Zoku Shou Suzu no Shizuku,"8.58
",https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
107,108,Shin Evangelion Movie ,"8.58
",https://myanimelist.net/anime/3786/Shin_Evangelion_Movie_||
108,109,Jujutsu Kaisen,"8.57
",https://myanimelist.net/anime/40748/Jujutsu_Kaisen
109,110,Natsume Yuujinchou San,"8.57
",https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
110,111,Doupo Cangqiong San Nian Zhi Yue,"8.57
",https://myanimelist.net/anime/49701/Doupo_Cangqiong__San_Nian_Zhi_Yue
111,112,Kimetsu no Yaiba Movie Mugen Ressha hen,"8.56
",https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
112,113,Kizumonogatari II Nekketsu hen,"8.56
",https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
113,114,Nana,"8.56
",https://myanimelist.net/anime/877/Nana
114,115,Natsume Yuujinchou Go,"8.56
",https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
115,116,Ookami Kodomo no Ame to Yuki,"8.56
",https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
116,117,Kimi no Suizou wo Tabetai,"8.55
",https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
117,118,Perfect Blue,"8.55
",https://myanimelist.net/anime/437/Perfect_Blue
118,119,Shingeki no Kyojin,"8.55
",https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
119,120,Shinseiki Evangelion Movie Air Magokoro wo Kimi ni,"8.55
",https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni
120,121,Shouwa Genroku Rakugo Shinjuu,"8.55
",https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
121,122,Slam Dunk,"8.55
",https://myanimelist.net/anime/170/Slam_Dunk
122,123,Yojouhan Shinwa Taikei,"8.55
",https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
123,124,Haikyuu To the Top Part 2,"8.55
",https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
124,125,Fate Zero 2nd Season,"8.54
",https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
125,126,Fruits Basket 2nd Season,"8.54
",https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
126,127,Steins Gate 0,"8.54
",https://myanimelist.net/anime/30484/Steins_Gate_0
127,128,Zoku Natsume Yuujinchou,"8.53
",https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
128,129,JoJo no Kimyou na Bouken Part 6 Stone Ocean Part 3,"8.53
",https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3
129,130,Mushishi Hihamukage,"8.53
",https://myanimelist.net/anime/21329/Mushishi__Hihamukage
130,131,Kimi ni Todoke 3rd Season,"8.52
",https://myanimelist.net/anime/56538/Kimi_ni_Todoke_3rd_Season
131,132,Shingeki no Kyojin Season 2,"8.52
",https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
132,133,Shoujo Kageki Revue Starlight Movie,"8.52
",https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie
133,134,Bakuman 3rd Season,"8.52
",https://myanimelist.net/anime/12365/Bakuman_3rd_Season
134,135,Gintama Movie 1 Shinyaku Benizakura hen,"8.52
",https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
135,136,Gintama Porori hen,"8.52
",https://myanimelist.net/anime/35843/Gintama_Porori-hen
136,137,Hotaru no Haka,"8.52
",https://myanimelist.net/anime/578/Hotaru_no_Haka
137,138,Kara no Kyoukai Movie 5 Mujun Rasen,"8.51
",https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen
138,139,Koukaku Kidoutai Stand Alone Complex 2nd GIG,"8.51
",https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
139,140,Samurai Champloo,"8.51
",https://myanimelist.net/anime/205/Samurai_Champloo
140,141,Sora yori mo Tooi Basho,"8.51
",https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
141,142,Yuru Camp Season 2,"8.51
",https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
142,143,Tian Guan Cifu Special,"8.50
",https://myanimelist.net/anime/44070/Tian_Guan_Cifu_Special
143,144,JoJo no Kimyou na Bouken Part 4 Diamond wa Kudakenai,"8.50
",https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
144,145,Ousama Ranking,"8.50
",https://myanimelist.net/anime/40834/Ousama_Ranking
